	Study_condition	Total_samples	Control_samples	Diseased_samples	Disease_type	Sequence_type	Cohort_type	Country
MobegiF_2020	Control Only	100	100	0		WGS	UrbanRuralMixed	AUS
LogMPie	Control Only	874	874	0		16s	UrbanRuralMixed	IND
RenallN_2023	Control Only	382	382	0		WGS	UrbanRuralMixed	NZL
ShaoY_2019	Control Only	174	174	0		WGS	IndustrializedUrban	GBR
PasolliE_2019	Control Only	111	111	0		WGS	RuralTribal	MDG
CosteaPI_2017	Control Only	253	253	0		WGS	IndustrializedUrban	DEU;KAZ
Barton_et_al_2018	Control Only	84	84	0		WGS	IndustrializedUrban	IRE
TettAJ_2019_a	Control Only	36	36	0		WGS	RuralTribal	TZA
TettAJ_2019_b	Control Only	23	23	0		WGS	RuralTribal	GHA
FerrettiP_2018	Control Only	22	22	0		WGS	IndustrializedUrban	ITA
TettAJ_2019_c	Control Only	24	24	0		WGS	RuralTribal	ETH
DhakanDB_2019	Control Only	88	88	0		WGS	UrbanRuralMixed	IND
LifeLinesDeep_2016	Control Only	1124	1124	0		WGS	IndustrializedUrban	NLD
YassourM_2018	Control Only	116	116	0		WGS	IndustrializedUrban	FIN
SchirmerM_2016	Control Only	456	456	0		WGS	IndustrializedUrban	NLD
RampelliS_2015	Control Only	22	22	0		WGS	RuralTribal	TZA
Obregon-TitoAJ_2015	Control Only	17	17	0		WGS	RuralTribal	PER
Odamaki	Control Only	306	306	0		16s	IndustrializedUrban	JPN
KaurK_2020	Control Only	30	30	0		WGS	RuralTribal	IND
WampachL_2018	Control Only	14	14	0		WGS	IndustrializedUrban	LUX
BritoIL_2016	Control Only	154	154	0		WGS	UrbanRuralMixed	FJI
CuestaZuluaga_et_al_2018	Control Only	441	441	0		16s	UrbanRuralMixed	COL
ZeeviD_2015	Control Only	900	900	0		WGS	IndustrializedUrban	ISR
Cronin_et_al_2018	Control Only	55	55	0		WGS	IndustrializedUrban	IRE
IjazUZ_2017	Control Only	25	25	0		WGS	IndustrializedUrban	GBR
YassourM_2016	Control Only	36	36	0		WGS	IndustrializedUrban	KOR
LokmerA_2019	Control Only	57	57	0		WGS	RuralTribal	CMR
AsnicarF_2021	Control Only	1096	1096	0		WGS	IndustrializedUrban	USA;GBR
DeFilippisF_2019	Control Only	97	97	0		WGS	IndustrializedUrban	ITA
PehrssonE_2016	Control Only	119	119	0		WGS	UrbanRuralMixed	SLV;PER
BackhedF_2015	Control Only	99	99	0		WGS	IndustrializedUrban	SWE
MehtaRS_2018	Control Only	928	928	0		WGS	IndustrializedUrban	USA
HansenLBS_2018	Control Only	207	207	0		WGS	IndustrializedUrban	DNK
LiuW_2016	Control Only	110	110	0		WGS	RuralTribal	MNG
HMP_2012	Control Only	145	145	0		WGS	IndustrializedUrban	USA
KeohaneDM_2020	Control Only	111	111	0		WGS	UrbanRuralMixed	IRL
